date,region,category,sales,units,profit
2025-01-05,North,Electronics,4200,42,860
2025-01-12,South,Furniture,2100,15,310
2025-01-19,East,Clothing,1580,88,420
2025-01-26,West,Electronics,3900,39,790
2025-02-02,North,Furniture,2750,20,505
2025-02-09,South,Electronics,5100,51,1040
2025-02-16,East,Clothing,1720,95,455
2025-02-23,West,Furniture,2300,17,380
2025-03-02,North,Clothing,1950,105,510
2025-03-09,South,Furniture,2600,19,470
2025-03-16,East,Electronics,4600,46,910
2025-03-23,West,Clothing,1680,90,430
2025-04-06,North,Electronics,4800,48,980
2025-04-13,South,Clothing,2050,110,540
2025-04-20,East,Furniture,2200,16,360
2025-04-27,West,Electronics,3700,37,740
2025-05-04,North,Furniture,2900,21,520
2025-05-11,South,Electronics,5300,53,1090
2025-05-18,East,Clothing,1830,98,470
2025-05-25,West,Furniture,2450,18,400
2025-06-01,North,Clothing,2100,112,540
2025-06-08,South,Furniture,2700,20,485
2025-06-15,East,Electronics,4750,47,950
2025-06-22,West,Clothing,1760,93,445
2025-07-06,North,Electronics,5000,50,1020
2025-07-13,South,Clothing,2200,118,560
2025-07-20,East,Furniture,2350,17,390
2025-07-27,West,Electronics,3950,40,800
